,bus_route_name,bus_route_link
0,Diphu to Guwahati,https://www.redbus.in/bus-tickets/diphu-to-guwahati
1,Guwahati to Diphu,https://www.redbus.in/bus-tickets/guwahati-to-diphu
2,Bokolia (assam) to Guwahati,https://www.redbus.in/bus-tickets/bokolia-assam-to-guwahati
3,Dokmoka to Guwahati,https://www.redbus.in/bus-tickets/dokmoka-to-guwahati
4,Guwahati to Dokmoka,https://www.redbus.in/bus-tickets/guwahati-to-dokmoka
5,Guwahati to Bokolia (assam),https://www.redbus.in/bus-tickets/guwahati-to-bokolia-assam
6,Langhin (assam) to Guwahati,https://www.redbus.in/bus-tickets/langhin-assam-to-guwahati
7,Diphu to Hamren,https://www.redbus.in/bus-tickets/diphu-to-hamren
8,Guwahati to Langhin (assam),https://www.redbus.in/bus-tickets/guwahati-to-langhin-assam
9,Guwahati to Manja (assam),https://www.redbus.in/bus-tickets/guwahati-to-manja-assam
10,Manja (assam) to Guwahati,https://www.redbus.in/bus-tickets/manja-assam-to-guwahati
11,Hamren to Diphu,https://www.redbus.in/bus-tickets/hamren-to-diphu
