,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
0,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 14:10 (BWN DEPOT) - 56,Non AC Seater (2+3),14:10,02h 30m,16:40,4.4,100
1,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KOLKATA - 14:30 (BWN DEPOT) - 30,Non AC Seater (2+3),14:30,02h 00m,16:30,3.8,95
2,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 15:10 (BWN DEPOT) - 57,Non AC Seater (2+3),15:10,02h 30m,17:40,4.3,100
3,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
4,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
5,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
6,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
7,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
8,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
9,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,,,,,,,
10,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 14:00 (BWN DEPOT) - 83,Non AC Seater (2+3),14:00,02h 00m,16:00,4.1,95
11,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - RAMPURHAT - VIA - TARAPITH - 14:00 - 2912,Non AC Seater (2+3),14:00,02h 00m,16:00,1.4,95
12,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 14:00 (BWN DEPOT) - 457,Non AC Seater (2+3),14:00,02h 00m,16:00,4.0,100
13,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
14,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
15,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
16,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
17,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
18,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
19,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,
20,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - 12:00 (BNK DEPOT) - 857,Non AC Seater (2+3),13:50,04h 00m,17:50,4.1,155
21,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - HABRA - VIA - DUNLOP - 14:05 (DGP DEPOT - 243,Non AC Seater (2+3),14:05,03h 30m,17:35,3.7,155
22,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - 13:00 (BNK DEPOT) - 240,Non AC Seater (2+3),14:55,04h 00m,18:55,3.5,155
23,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 13:55 (ASANSOL DEPOT) - 394,Non AC Seater (2+3),15:05,04h 00m,19:05,3.4,155
24,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,,,,,
