,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
0,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,Jamna Travels-Jammu,Non AC Seater (2+2),19:00,11h 45m,06:45,2.2,649
1,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,New Pal Travels,NON A/C Seater / Sleeper (2+2),19:00,10h 00m,05:00,2.0,719
2,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),16:00,19h 30m,11:30,2.2,3000
3,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),19:30,10h 30m,06:00,2.4,699
4,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.7,719
5,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,1.4,549
6,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,699
7,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,699
8,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,Lavish Travels,A/C Seater / Sleeper (2+2),14:40,13h 55m,04:35,3.1,522
9,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),15:10,02h 05m,17:15,3.5,500
